MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
372,371,4.3680555,0.006828004,2.5374962,6150016,8
373,372,4.374883504,0.006828004,2.5443249,6150016,8
374,373,4.381711508,0.006828004,2.5511563,6150016,8
375,374,4.388539512,0.006828004,2.5580013,6150016,8
376,375,4.395367516,0.006828004,2.5648228,6150016,8
377,376,4.402195524,0.006828008,2.5718158,6150016,8
378,377,4.409024528,0.006829004,2.5784877,6150016,8
379,378,4.415852532,0.006828004,2.5853474,6150016,8
380,379,4.422680536,0.006828004,2.5921674,6150016,8
381,380,4.42950854,0.006828004,2.5989697,6150016,8
382,381,4.436336544,0.006828004,2.6058082,6150016,8
383,382,4.443164552,0.006828008,2.6126083,6150016,8
384,383,4.449992556,0.006828004,2.6194541,6150016,8
385,384,4.45682056,0.006828004,2.626255,6150016,8
386,385,4.463648564,0.006828004,2.6331283,6150016,8
387,386,4.470476568,0.006828004,2.6399266,6150016,8
388,387,4.477304572,0.006828004,2.6468371,6150016,8
389,388,4.484132576,0.006828004,2.6535759,6150016,8
390,389,4.490960584,0.006828008,2.6603953,6150016,8
391,390,4.497788588,0.006828004,2.667239,6150016,8
392,391,4.504616592,0.006828004,2.6740537,6150016,8
393,392,4.511444596,0.006828004,2.680904,6150016,8
394,393,4.5182726,0.006828004,2.6878064,6150016,8
395,394,4.525100604,0.006828004,2.6946016,6150016,8
396,395,4.531929608,0.006829004,2.7013921,6150016,8
397,396,4.538757616,0.006828008,2.7082516,6150016,8
398,397,4.54558562,0.006828004,2.7150503,6150016,8
399,398,4.552413624,0.006828004,2.7218701,6150016,8
400,399,4.559241628,0.006828004,2.7286912,6150016,8
401,400,4.566069632,0.006828004,2.7354969,6150016,8
402,401,4.572897636,0.006828004,2.7423492,6150016,8
403,402,4.57972564,0.006828004,2.7491547,6150016,8
404,403,4.586553648,0.006828008,2.7560123,6150016,8
405,404,4.593381652,0.006828004,2.7628793,6150016,8
406,405,4.600209656,0.006828004,2.7696592,6150016,8
407,406,4.60703766,0.006828004,2.7764665,6150016,8
408,407,4.613865664,0.006828004,2.7833167,6150016,8
409,408,4.620693668,0.006828004,2.7901388,6150016,8
410,409,4.627521672,0.006828004,2.7969732,6150016,8
411,410,4.63434968,0.006828008,2.8038095,6150016,8
412,411,4.641177684,0.006828004,2.8106244,6150016,8
413,412,4.648006688,0.006829004,2.8174653,6150016,8
414,413,4.654834692,0.006828004,2.8243607,6150016,8
415,414,4.661662696,0.006828004,2.8311188,6150016,8
416,415,4.6684907,0.006828004,2.837947,6150016,8
417,416,4.675318704,0.006828004,2.8448297,6150016,8
